agent,seed,net_arpu_gain,gross_arpu_lift,total_cost,total_contacts,unique_customers_targeted,n_pilots,final_campaigns,risk_score_pct,act_seconds,validation_errors,evaluator_messages,estimated_net,greedy_estimated_net,states_pruned
greedy,103,2662352.5161177544,2757722.5161177544,95370.0,5110,4510,12,3,0.0,0.0658328749705106,[],,,,
greedy,104,3245636.102302865,3337684.102302865,92048.0,5559,4713,15,4,0.0,0.08340520807541907,[],,,,
greedy,105,3284513.2452608244,3383227.2452608244,98714.0,5462,4719,13,4,0.0,0.07232608401682228,[],,,,
greedy,106,3175265.141809659,3275255.141809659,99990.0,5320,4789,12,3,0.0,0.0710684999357909,[],,,,
greedy,107,3239946.1597183505,3331994.1597183505,92048.0,5359,4533,14,4,0.0,0.07118891703430563,[],,,,
greedy,108,3355223.8683310086,3455213.8683310086,99990.0,5320,4485,12,5,0.0,0.06410345796030015,[],,,,
greedy,109,3353239.1476078965,3453229.1476078965,99990.0,5320,4477,12,5,0.0,0.06414041598327458,[],,,,
greedy,110,3280384.3246204564,3379098.3246204564,98714.0,5262,4526,12,4,0.0,0.06332108296919614,[],,,,
greedy,111,3238907.334056339,3330955.334056339,92048.0,5159,4343,13,4,0.0,0.06813229201361537,[],,,,
greedy,112,3239988.831867187,3332036.831867187,92048.0,5159,4350,13,4,0.0,0.06788804102689028,[],,,,
greedy,113,3176841.905562647,3276831.905562647,99990.0,5320,4790,12,3,0.0,0.06510112504474819,[],,,,
greedy,114,2790543.537969255,2890423.537969255,99880.0,5315,4715,12,3,0.0,0.06383833300787956,[],,,,
greedy,115,3240033.6851112135,3332081.6851112135,92048.0,5359,4528,14,4,0.0,0.07066316704731435,[],,,,
greedy,116,3240076.391291019,3332124.391291019,92048.0,5359,4531,14,4,0.0,0.0712269590003416,[],,,,
greedy,117,3233140.6453007283,3325188.6453007283,92048.0,4959,4159,12,4,0.0,0.06628466700203717,[],,,,
greedy,118,3335596.3188217673,3435586.3188217673,99990.0,5320,4450,12,5,0.0,0.06435366696678102,[],,,,
greedy,119,3337106.4156987695,3437096.4156987695,99990.0,5520,4636,13,5,0.0,0.06764637504238635,[],,,,
greedy,120,2789510.986781479,2889390.986781479,99880.0,5315,4715,12,3,0.0,0.06630775006487966,[],,,,
greedy,121,2559403.19044457,2658909.19044457,99506.0,5298,4762,12,3,0.0,0.06516670796554536,[],,,,
greedy,122,3243708.511095582,3335756.511095582,92048.0,5359,4536,14,4,0.0,0.07073116698302329,[],,,,
greedy,123,3317410.0216400158,3417400.0216400158,99990.0,5520,4819,13,4,0.0,0.0778290000744164,[],,,,
greedy,124,3353342.823971889,3453332.823971889,99990.0,5320,4476,12,5,0.0,0.06343641597777605,[],,,,
greedy,125,2260430.7368894685,2325484.7368894685,65054.0,3732,3132,12,3,0.0,0.06436025002039969,[],,,,
greedy,126,3227132.955249871,3319180.955249871,92048.0,4959,4159,12,4,0.0,0.06496474996674806,[],,,,
greedy,127,3236799.7724478776,3328847.7724478776,92048.0,5159,4355,13,4,0.0,0.06746425002347678,[],,,,
greedy,128,2692471.0412031524,2787841.0412031524,95370.0,6265,5437,14,4,0.0,0.07095000008121133,[],,,,
greedy,129,2689343.8812611303,2784713.8812611303,95370.0,6265,5430,14,4,0.0,0.07165679195895791,[],,,,
greedy,200,3166380.3041888457,3266370.3041888457,99990.0,5920,5328,15,3,0.0,0.07477229193318635,[],,,,
greedy,201,2798151.686445708,2898031.686445708,99880.0,5515,4904,13,3,0.0,0.06841591699048877,[],,,,
greedy,202,3281109.404020986,3379823.404020986,98714.0,5262,4526,12,4,0.0,0.06482812494505197,[],,,,
greedy,203,3229272.4545571394,3321320.4545571394,92048.0,4959,4159,12,4,0.0,0.06409758399240673,[],,,,
greedy,204,3234821.4497364773,3326869.4497364773,92048.0,4959,4159,12,4,0.0,0.06432899995706975,[],,,,
greedy,205,3252217.799936203,3344265.799936203,92048.0,5675,4665,13,5,0.0,0.06961483298800886,[],,,,
greedy,206,3234518.959735303,3326566.959735303,92048.0,4959,4159,12,4,0.0,0.06407049996778369,[],,,,
greedy,207,3244456.2379730497,3336504.2379730497,92048.0,5359,4536,14,4,0.0,0.07165649998933077,[],,,,
greedy,208,3254865.679944699,3346913.679944699,92048.0,6075,5023,15,5,0.0,0.07553104194812477,[],,,,
greedy,209,3278669.26377749,3377383.26377749,98714.0,5262,4526,12,4,0.0,0.0653313749935478,[],,,,
greedy,210,3229977.3177609015,3322025.3177609015,92048.0,4959,4159,12,4,0.0,0.06562712497543544,[],,,,
greedy,211,3324428.9815690136,3424418.9815690136,99990.0,5720,5022,14,4,0.0,0.07032962504308671,[],,,,
greedy,212,2674518.6903264904,2769888.6903264904,95370.0,5110,4510,12,3,0.0,0.06605208397377282,[],,,,
greedy,213,3235665.5159024596,3327713.5159024596,92048.0,4959,4159,12,4,0.0,0.06420058303046972,[],,,,
greedy,214,3339736.9926422057,3439726.9926422057,99990.0,5520,4640,13,5,0.0,0.06763437495101243,[],,,,
greedy,215,3234277.566757742,3326325.566757742,92048.0,4959,4159,12,4,0.0,0.06398454203736037,[],,,,
greedy,216,3385572.3412976293,3485562.3412976293,99990.0,10446,9157,14,5,0.0,0.07024104206357151,[],,,,
greedy,217,2797646.0558013096,2897526.0558013096,99880.0,5831,5031,12,4,0.0,0.0694383749505505,[],,,,
greedy,218,3239827.2080879835,3331875.2080879835,92048.0,5359,4543,14,4,0.0,0.07288145797792822,[],,,,
greedy,219,3279610.4462481616,3378324.4462481616,98714.0,5262,4526,12,4,0.0,0.06458991696126759,[],,,,
greedy,220,2905869.483748566,3005859.483748566,99990.0,5720,5180,14,3,0.0,0.07168937497772276,[],,,,
greedy,221,3317853.190217277,3417843.190217277,99990.0,5520,4839,13,4,0.0,0.06901820795610547,[],,,,
greedy,222,3234748.3503847206,3326796.3503847206,92048.0,5159,4353,13,4,0.0,0.07009433303028345,[],,,,
greedy,223,3288788.790411128,3387502.790411128,98714.0,5462,4718,13,4,0.0,0.06698466697707772,[],,,,
greedy,224,3285749.918042225,3384463.918042225,98714.0,5662,4903,14,4,0.0,0.08176479209214449,[],,,,
greedy,225,3232503.6368923937,3324551.6368923937,92048.0,4959,4159,12,4,0.0,0.06314595800358802,[],,,,
greedy,226,3240036.0510300295,3332084.0510300295,92048.0,5159,4348,13,4,0.0,0.07562483299989253,[],,,,
greedy,227,3235459.5161967436,3327507.5161967436,92048.0,5159,4350,13,4,0.0,0.07436237507499754,[],,,,
greedy,228,3161695.413032027,3261685.413032027,99990.0,5320,4782,12,3,0.0,0.07529766589868814,[],,,,
greedy,229,3359527.1173614278,3459517.1173614278,99990.0,5520,4671,13,5,0.0,0.06874245894141495,[],,,,
plan_search,42,3240024.288258005,3332072.288258005,92048.0,5359,4532,14,4,0.0,0.06796016590669751,[],,906469.0455199757,906469.0455199757,0.0
plan_search,0,3232455.8978503803,3324503.8978503803,92048.0,4959,4159,12,4,0.0,0.060933792032301426,[],,1134320.672257165,1134320.672257165,0.0
plan_search,1,3350905.848377715,3450895.848377715,99990.0,5520,4670,13,5,0.0,0.06630220799706876,[],,1286246.9534227557,1278847.3541499006,0.0
plan_search,2,2770228.0733861257,2870218.0733861257,99990.0,5520,4732,13,4,0.0,0.07635945791844279,[],,975001.3930969276,965220.7281917392,0.0
plan_search,3,2265525.10107049,2330579.10107049,65054.0,3932,3326,13,3,0.0,0.07516987505368888,[],,632347.5789857905,632347.5789857904,0.0
plan_search,4,3239236.651811514,3331284.651811514,92048.0,5159,4349,13,4,0.0,0.06662737496662885,[],,1275069.2145274945,1275069.2145274943,0.0
plan_search,5,2767623.7058186107,2867613.7058186107,99990.0,5520,4722,13,4,0.0,0.0701872919453308,[],,762905.4146683642,745432.5251259565,0.0
plan_search,6,2563846.602811237,2647600.602811237,83754.0,4982,4214,14,4,0.0,0.07597345800604671,[],,1026993.4742124195,1026993.4742124194,0.0
plan_search,7,3237215.867028903,3329263.867028903,92048.0,5159,4350,13,4,0.0,0.07213754206895828,[],,1053640.7457969093,1053640.7457969093,0.0
plan_search,8,3342793.585461351,3442783.585461351,99990.0,5720,4822,14,5,0.0,0.07394183403812349,[],,548808.9315528758,540338.9195856224,0.0
plan_search,9,2788351.2190654697,2888231.2190654697,99880.0,5831,5031,12,4,0.0,0.07794066600035876,[],,984604.9391958695,984604.9391958693,0.0
plan_search,10,3235620.515793487,3327668.515793487,92048.0,4959,4159,12,4,0.0,0.06744324997998774,[],,763562.7165358767,763562.7165358767,0.0
plan_search,11,3348818.885275363,3448808.885275363,99990.0,5720,4825,14,5,0.0,0.07532508298754692,[],,1514772.6044253828,1514772.6044253828,0.0
plan_search,12,3156300.6759712957,3256290.6759712957,99990.0,5520,4974,13,3,0.0,0.07291850005276501,[],,1463587.067307219,1463587.067307219,0.0
plan_search,13,2764150.827619709,2864140.827619709,99990.0,5520,4729,13,4,0.0,0.0747242079814896,[],,1041060.0634810927,1024190.0231821709,0.0
plan_search,14,3421169.759864443,3521159.759864443,99990.0,11162,9294,15,7,0.0,0.08938287501223385,[],,799101.0935838997,799101.0935838996,0.0
plan_search,15,3253958.5496917944,3346006.5496917944,92048.0,5714,4714,12,5,0.0,0.06259558303281665,[],,1002672.714017258,1002672.714017258,0.0
plan_search,16,3160149.7808928126,3260139.7808928126,99990.0,5320,4785,12,3,0.0,0.06350074999500066,[],,1464323.8695953428,1464323.8695953428,0.0
plan_search,17,3253280.158178127,3345328.158178127,92048.0,5475,4475,12,5,0.0,0.0639591250801459,[],,1005225.4979276252,1005225.4979276252,0.0
plan_search,18,2737968.8049812196,2837958.8049812196,99990.0,5320,4664,12,4,0.0,0.06259745801799,[],,1215208.5806858898,1215208.5806858898,0.0
plan_search,19,3316689.805205485,3416679.805205485,99990.0,5320,4639,12,4,0.0,0.06370966602116823,[],,1283780.629189798,1283780.629189798,0.0
plan_search,20,3238113.998317832,3330161.998317832,92048.0,5159,4350,13,4,0.0,0.06600754207465798,[],,1487102.6122725655,1487102.6122725655,0.0
plan_search,21,3244765.3979031653,3336813.3979031653,92048.0,5359,4532,14,4,0.0,0.0697938340017572,[],,1003112.9610751928,1003112.9610751928,0.0
plan_search,22,2794774.934686132,2894654.934686132,99880.0,5515,4906,13,3,0.0,0.06543237494770437,[],,722410.5822789313,722410.5822789313,0.0
plan_search,23,3282325.84461683,3381039.84461683,98714.0,5662,4899,14,4,0.0,0.07026208308525383,[],,1065585.5988432362,1065585.5988432362,0.0
plan_search,24,3233674.7768257237,3325722.7768257237,92048.0,4959,4159,12,4,0.0,0.06183508294634521,[],,913410.760492134,913410.760492134,0.0
plan_search,25,3276930.6378894537,3375644.6378894537,98714.0,5462,4718,13,4,0.0,0.06609274994116277,[],,1070273.2200864227,1070273.2200864225,0.0
plan_search,26,2736676.5243369676,2836666.5243369676,99990.0,5520,4873,13,4,0.0,0.06618358299601823,[],,1060413.724135878,1060413.724135878,0.0
plan_search,27,3315127.2029687203,3415117.2029687203,99990.0,5320,4635,12,4,0.0,0.061814374988898635,[],,1384808.6498451116,1384808.6498451116,0.0
plan_search,28,3237839.1229743105,3329887.1229743105,92048.0,5359,4535,14,4,0.0,0.07472583407070488,[],,1006962.7394147806,1006962.7394147806,0.0
plan_search,29,3237801.7142061805,3329849.7142061805,92048.0,4959,4159,12,4,0.0,0.07174391590524465,[],,1004354.7488705964,1004354.7488705964,0.0
plan_search,100,3343748.9415587303,3443738.9415587303,99990.0,6036,4944,13,6,0.0,0.07194599998183548,[],,1268330.7916335554,1268330.7916335552,0.0
plan_search,101,3189962.212768985,3289952.212768985,99990.0,5320,4427,12,5,0.0,0.06887529196683317,[],,740959.6344528998,738084.6491804421,0.0
plan_search,102,3301791.591712065,3393839.591712065,92048.0,10085,8685,14,5,0.0,0.0763423329917714,[],,1731883.4307046933,1731883.430704693,0.0
plan_search,103,3314959.5182156917,3414949.5182156917,99990.0,5320,4638,12,4,0.0,0.07225466601084918,[],,883354.8398181334,880744.6451108197,0.0
plan_search,104,3245636.102302865,3337684.102302865,92048.0,5559,4713,15,4,0.0,0.08276083308737725,[],,1033741.5743189172,1033741.5743189172,0.0
plan_search,105,3284513.2452608244,3383227.2452608244,98714.0,5462,4719,13,4,0.0,0.0753460000269115,[],,1717673.607258908,1717673.6072589078,0.0
plan_search,106,3312102.7146713505,3412092.7146713505,99990.0,5320,4636,12,4,0.0,0.06802429200615734,[],,1188620.5067801208,1146983.307274928,0.0
plan_search,107,3239946.1597183505,3331994.1597183505,92048.0,5359,4533,14,4,0.0,0.07867220893967897,[],,669335.2616670044,669335.2616670043,0.0
plan_search,108,3355223.8683310086,3455213.8683310086,99990.0,5320,4485,12,5,0.0,0.06523275002837181,[],,1398573.3917892766,1398573.3917892766,0.0
plan_search,109,3353239.1476078965,3453229.1476078965,99990.0,5320,4477,12,5,0.0,0.0658869999460876,[],,1274054.103924236,1274054.103924236,0.0
plan_search,110,3280384.3246204564,3379098.3246204564,98714.0,5262,4526,12,4,0.0,0.06349799991585314,[],,1397087.2440106734,1397087.2440106734,0.0
plan_search,111,3238907.334056339,3330955.334056339,92048.0,5159,4343,13,4,0.0,0.06779124995227903,[],,933059.6813718791,933059.681371879,0.0
plan_search,112,3239988.831867187,3332036.831867187,92048.0,5159,4350,13,4,0.0,0.06616016698535532,[],,1169094.4963152567,1169094.4963152567,0.0
plan_search,113,3349048.8565236516,3449038.8565236516,99990.0,5320,4482,12,5,0.0,0.06444116693455726,[],,1195208.5922952418,1101891.8581051799,0.0
plan_search,114,3314490.4517716365,3414480.4517716365,99990.0,5320,4643,12,4,0.0,0.06396204198244959,[],,961935.6421631002,916063.6197687386,0.0
plan_search,115,3240033.6851112135,3332081.6851112135,92048.0,5359,4528,14,4,0.0,0.08000333304516971,[],,472724.55037852324,472724.55037852324,0.0
plan_search,116,3240076.391291019,3332124.391291019,92048.0,5359,4531,14,4,0.0,0.07016887504141778,[],,1201693.462496116,1201693.4624961158,0.0
plan_search,117,3233140.6453007283,3325188.6453007283,92048.0,4959,4159,12,4,0.0,0.06461841601412743,[],,986000.2667509774,986000.2667509774,0.0
plan_search,118,3335596.3188217673,3435586.3188217673,99990.0,5320,4450,12,5,0.0,0.06507095799315721,[],,1159923.3593318244,1159923.3593318241,0.0
plan_search,119,3337106.4156987695,3437096.4156987695,99990.0,5520,4636,13,5,0.0,0.07242450001649559,[],,1266952.0726168235,1266952.0726168235,0.0
plan_search,120,3322155.42806745,3422145.42806745,99990.0,5320,4645,12,4,0.0,0.06372708396520466,[],,1347220.7559819627,1269051.1859960565,0.0
plan_search,121,3279087.790169224,3377801.790169224,98714.0,5262,4526,12,4,0.0,0.06555004196707159,[],,1106005.4367632263,1041139.1568356995,0.0
plan_search,122,3243708.511095582,3335756.511095582,92048.0,5359,4536,14,4,0.0,0.0721435829764232,[],,926844.5371837292,926844.5371837291,0.0
plan_search,123,3359065.970517049,3459055.970517049,99990.0,5520,4665,13,5,0.0,0.06789087504148483,[],,1201538.537989966,1192780.6912973928,0.0
plan_search,124,3353342.823971889,3453332.823971889,99990.0,5320,4476,12,5,0.0,0.06413754203822464,[],,760928.7938395834,760928.7938395834,0.0
plan_search,125,2260430.7368894685,2325484.7368894685,65054.0,3732,3132,12,3,0.0,0.0659523750655353,[],,497899.10204445646,497899.10204445646,0.0
plan_search,126,3227132.955249871,3319180.955249871,92048.0,4959,4159,12,4,0.0,0.06489416596014053,[],,1444016.5119025935,1444016.5119025933,0.0
plan_search,127,3236799.7724478776,3328847.7724478776,92048.0,5159,4355,13,4,0.0,0.06812074990011752,[],,723482.8037762102,723482.8037762102,0.0
plan_search,128,2692471.0412031524,2787841.0412031524,95370.0,6265,5437,14,4,0.0,0.07176812493707985,[],,822381.0519757955,822381.0519757954,0.0
plan_search,129,3370474.781698068,3470464.781698068,99990.0,6475,5403,14,6,0.0,0.07168799999635667,[],,613665.9761974751,584187.5026950453,0.0
plan_search,200,3327011.190831042,3427001.190831042,99990.0,5920,5176,15,4,0.0,0.07571762497536838,[],,842230.696981438,831421.7031733238,0.0
plan_search,201,2798151.686445708,2898031.686445708,99880.0,5515,4904,13,3,0.0,0.07016512495465577,[],,912159.5355192118,912159.5355192117,0.0
plan_search,202,3340866.58473585,3440856.58473585,99990.0,5320,4456,12,5,0.0,0.0638687500031665,[],,767143.2145773552,758919.1110407191,0.0
plan_search,203,3229272.4545571394,3321320.4545571394,92048.0,4959,4159,12,4,0.0,0.06487933301832527,[],,1136109.3180890935,1136109.3180890935,0.0
plan_search,204,3234821.4497364773,3326869.4497364773,92048.0,4959,4159,12,4,0.0,0.0632967499550432,[],,1433687.2531340215,1433687.2531340213,0.0
plan_search,205,3252217.799936203,3344265.799936203,92048.0,5675,4665,13,5,0.0,0.06851316709071398,[],,1795615.0249213744,1795615.0249213742,0.0
plan_search,206,3234518.959735303,3326566.959735303,92048.0,4959,4159,12,4,0.0,0.06571566697675735,[],,1195401.444784964,1195401.4447849637,0.0
plan_search,207,3244456.2379730497,3336504.2379730497,92048.0,5359,4536,14,4,0.0,0.07166558294557035,[],,752183.8937959352,752183.8937959351,0.0
plan_search,208,3254865.679944699,3346913.679944699,92048.0,6075,5023,15,5,0.0,0.08479912497568876,[],,502207.5367535661,502207.53675356606,0.0
plan_search,209,3278669.26377749,3377383.26377749,98714.0,5262,4526,12,4,0.0,0.06443220900837332,[],,636403.1349287248,636403.1349287248,0.0
plan_search,210,3229977.3177609015,3322025.3177609015,92048.0,4959,4159,12,4,0.0,0.06438970903400332,[],,1050888.1273011998,1050888.1273011998,0.0
plan_search,211,3324428.9815690136,3424418.9815690136,99990.0,5720,5022,14,4,0.0,0.07259595801588148,[],,846165.1266874644,846165.1266874644,0.0
plan_search,212,2767618.8997362154,2867608.8997362154,99990.0,5320,4537,12,4,0.0,0.06466541707050055,[],,1017480.2487968976,1005335.0601911106,0.0
plan_search,213,3235665.5159024596,3327713.5159024596,92048.0,4959,4159,12,4,0.0,0.0642118330579251,[],,783090.2065044417,783090.2065044417,0.0
plan_search,214,3339736.9926422057,3439726.9926422057,99990.0,5520,4640,13,5,0.0,0.06793699995614588,[],,1290546.9435224223,1290546.9435224223,0.0
plan_search,215,3234277.566757742,3326325.566757742,92048.0,4959,4159,12,4,0.0,0.06304300006013364,[],,860881.9601505494,860881.9601505494,0.0
plan_search,216,3385572.3412976293,3485562.3412976293,99990.0,10446,9157,14,5,0.0,0.0957466249819845,[],,2382750.109519126,2382750.109519126,0.0
plan_search,217,2797646.0558013096,2897526.0558013096,99880.0,5831,5031,12,4,0.0,0.06916391698177904,[],,865406.1245319877,865406.1245319877,0.0
plan_search,218,3239827.2080879835,3331875.2080879835,92048.0,5359,4543,14,4,0.0,0.07321908406447619,[],,917938.8597824541,917938.8597824541,0.0
plan_search,219,3279610.4462481616,3378324.4462481616,98714.0,5262,4526,12,4,0.0,0.0683260839432478,[],,1100660.0221622614,1100660.0221622614,0.0
plan_search,220,3175281.8553518765,3275271.8553518765,99990.0,5720,5163,14,3,0.0,0.07349629106465727,[],,1116829.2530246084,1108443.9641728734,0.0
plan_search,221,3317853.190217277,3417843.190217277,99990.0,5520,4839,13,4,0.0,0.06923887494485825,[],,890501.5724330666,890501.5724330666,0.0
plan_search,222,3234748.3503847206,3326796.3503847206,92048.0,5159,4353,13,4,0.0,0.06906379200518131,[],,1417367.2265983347,1417367.2265983347,0.0
plan_search,223,3335433.312367518,3435423.312367518,99990.0,5520,4633,13,5,0.0,0.06914520799182355,[],,756029.6826651865,745124.9605897209,0.0
plan_search,224,3285749.918042225,3384463.918042225,98714.0,5662,4903,14,4,0.0,0.07143591693602502,[],,938937.0511106364,938937.0511106363,0.0
plan_search,225,3232503.6368923937,3324551.6368923937,92048.0,4959,4159,12,4,0.0,0.06629312504082918,[],,546222.0521931483,546222.0521931483,0.0
plan_search,226,3240036.0510300295,3332084.0510300295,92048.0,5159,4348,13,4,0.0,0.07002262491732836,[],,1158255.2422251673,1158255.2422251673,0.0
plan_search,227,3235459.5161967436,3327507.5161967436,92048.0,5159,4350,13,4,0.0,0.07437258400022984,[],,1138203.8985399322,1138203.8985399322,0.0
plan_search,228,3161695.413032027,3261685.413032027,99990.0,5320,4782,12,3,0.0,0.06666154193226248,[],,1224073.2937948315,1224073.2937948315,0.0
plan_search,229,3359527.1173614278,3459517.1173614278,99990.0,5520,4671,13,5,0.0,0.06955945794470608,[],,1215619.9051996367,1215619.9051996367,0.0
